OK  > |Spider-Man vs. The Kingpin (USA, Europe).zip
KO > |Spirou (Europe) (Proto).zip
OK  > |Sports Illustrated Championship Football & Baseball (USA, Europe).zip
OK  > |Sports Trivia - Championship Edition (USA, Europe).zip
OK  > |Sports Trivia (USA).zip
OK  > |Star Trek - The Next Generation - The Advanced Holodeck Tutorial (USA).zip
OK  > |Star Trek Generations - Beyond the Nexus (USA, Europe).zip
KO > |Star Wars (USA).zip
KO > |Star Wars (Europe).zip
OK  > |Stargate (World).zip
KO > |Street Hero (USA) (Proto 2).zip
KO > |Street Hero (USA) (Proto 1).zip
OK  > |Striker (Europe) (En,Fr,De,Es,It).zip
OK  > |Super Battletank (USA).zip
KO > |Super Columns (Japan).zip
OK  > |Super Columns (USA, Europe).zip
KO > |Super Golf (Japan).zip
OK  > |Super Golf (USA).zip
KO > |Super Kick Off (Japan).zip
KO > |Super Momotarou Dentetsu III (Japan).zip
KO > |Super Monaco GP (Japan).zip
OK  > |Super Monaco GP (USA, Europe).zip
OK  > |Super Off Road (USA, Europe).zip
OK  > |Super Return of the Jedi (USA, Europe).zip
OK  > |Super Smash T.V. (World).zip
OK  > |Super Space Invaders (USA, Europe).zip
OK  > |Superman - The Man of Steel (Europe).zip
KO > |Superman - The Man of Steel (Europe) (Beta).zip
OK  > |Surf Ninjas (USA).zip
KO > |Sylvan Tale (Japan).zip
OK  > |T2 - The Arcade Game (USA, Europe).zip
KO > |T2 - The Arcade Game (Japan) (En).zip
OK  > |Tails Adventures (World) (En,Ja).zip
KO > |Tails no Skypatrol (Japan).zip
KO > |Taisen Mahjong HaoPai 2 (Japan).zip
KO > |Taisen Mahjong HaoPai (Japan).zip
KO > |Taisen-gata Daisenryaku G (Japan).zip
KO > |Taito Chase H.Q. (Japan).zip
OK  > |Taito Chase H.Q. (USA).zip
OK  > |TaleSpin (USA, Europe).zip
KO > |Tama & Friends 3 Choume Kouen - Tamalympic (Japan).zip
KO > |Tarot no Yakata (Japan).zip
OK  > |Tarzan - Lord of the Jungle (Europe).zip
KO > |Tatakae! Pro Yakyuu Twin League (Japan).zip
OK  > |Taz in Escape from Mars (USA, Europe).zip
OK  > |Taz-Mania - The Search for the Lost Seabirds (USA, Europe).zip
OK  > |Tempo Jr. (World).zip
OK  > |Tengen World Cup Soccer (USA, Europe).zip
OK  > |Terminator 2 - Judgment Day (World).zip
OK  > |Terminator, The (USA, Europe).zip
OK  > |Tesserae (USA, Europe).zip
OK  > |Tintin in Tibet (Europe) (En,Fr,De,Es,Nl,Sv).zip
KO > |Tom and Jerry - The Movie (Japan).zip
OK  > |Tom and Jerry - The Movie (USA, Europe).zip
KO > |Torarete Tamaruka (Japan).zip
OK  > |True Lies (World).zip
OK  > |Ultimate Soccer (Japan, Europe) (En,Fr,De,Es,It).zip
OK  > |Urban Strike (USA, Europe).zip
OK  > |Vampire - Master of Darkness (USA).zip
OK  > |Virtua Fighter Animation (USA, Europe).zip
KO > |Virtua Fighter Mini (Japan).zip
OK  > |VR Troopers (USA, Europe).zip
KO > |Wagyan Land (Japan).zip
OK  > |Wheel of Fortune (USA).zip
OK  > |Wimbledon (World).zip
OK  > |Winter Olympics - Lillehammer '94 (USA, Europe) (En,Fr,De,Es,It,Pt,Sv,No).zip
KO > |Winter Olympics - Lillehammer '94 (Japan) (En,Fr,De,Es,It,Pt,Sv,No).zip
OK  > |Wizard Pinball (Europe).zip
OK  > |Wolfchild (Europe).zip
OK  > |Wonder Boy - The Dragon's Trap (Europe).zip
KO > |Wonder Boy III - The Dragon's Trap (Europe) (Beta).zip
KO > |Wonder Boy (Japan).zip
OK  > |Wonder Boy (Europe).zip
KO > |Woody Pop (World).zip
KO > |Woody Pop (World) (Rev 1).zip
OK  > |World Class Leader Board (USA, Europe).zip
OK  > |World Cup USA 94 (USA, Europe) (En,Fr,De,Es,It,Nl,Pt,Sv).zip
KO > |World Derby (Japan).zip
OK  > |World Series Baseball '95 (USA).zip
KO > |World Series Baseball (USA).zip
KO > |World Series Baseball (USA) (Rev 1).zip
OK  > |WWF Raw (USA, Europe).zip
OK  > |WWF Wrestlemania Steel Cage Challenge (Europe).zip
OK  > |X-Men - Gamemaster's Legacy (USA, Europe).zip
OK  > |X-Men - Mojo World (USA, Europe).zip
OK  > |X-Men (USA).zip
KO > |Yogi Bear in Yogi Bear's Goldrush (Unknown) (Proto).zip
KO > |Yu Yu Hakusho - Horobishimono no Gyakushuu (Japan).zip
KO > |Yu Yu Hakusho 2 - Gekitou! Nanakyou no Tatakai (Japan).zip
KO > |Zan Gear (Japan).zip
KO > |Zool - Ninja of the 'Nth' Dimension (USA).zip
KO > |Zool - Ninja of the 'Nth' Dimension (Europe).zip
KO > |Zool no Yume Bouken (Japan).zip
OK  > |Zoop (USA).zip
KO > |Zoop (USA) (Beta).zip
